year,point,start_depth,end_depth,lon,lat,dry_weight,soc,field
2020,59,0,12,-87.88117561,40.17287385,154,1.96,ICG-Field-15
2020,35,0,12,-87.87929782,40.17297822,157.5,1.33,ICG-Field-15
2020,4,0,12,-87.88153723,40.17359184,146.3,1.55,ICG-Field-15
2020,6,0,12,-87.88095705,40.17413682,206.8,1.35,ICG-Field-15
2020,24,0,12,-87.87955246,40.17450787,304.5,2.02,ICG-Field-15
2020,48,0,12,-87.87944549,40.17531953,136.2,1.38,ICG-Field-15
2020,13,0,12,-87.881328,40.17557549,151.2,1.25,ICG-Field-15
2020,42,0,12,-87.88039082,40.17576281,155.5,1.22,ICG-Field-15
2020,41,0,12,-87.87968968,40.17603842,223.9,1.37,ICG-Field-15
2020,31,0,12,-87.87923038,40.17685275,152.1,1.47,ICG-Field-15
2020,60,0,12,-87.88005247,40.1768465,206.8,1.08,ICG-Field-15
2020,3,0,12,-87.88051874,40.17657268,196.1,1.2,ICG-Field-15
2020,17,0,12,-87.88098734,40.17647902,192.4,1.17,ICG-Field-15
2020,43,0,12,-87.88006527,40.17783744,202.5,1.14,ICG-Field-15
2020,56,0,12,-87.88124086,40.17791859,166.9,1.59,ICG-Field-15
2020,55,0,12,-87.88182924,40.1780042,119.4,1.77,ICG-Field-15
2020,9,0,12,-87.88264756,40.17681746,209.4,1.33,ICG-Field-15
2020,39,0,12,-87.88310009,40.17637283,233,1.19,ICG-Field-15
2020,61,0,12,-87.88273143,40.17511433,204,1.43,ICG-Field-15
2020,7,0,12,-87.88320819,40.17565126,162.2,2.12,ICG-Field-15
2020,33,0,12,-87.88426982,40.17600353,167.7,1.48,ICG-Field-15
2020,70,0,12,-87.8847384,40.17590985,153.2,1.46,ICG-Field-15
2020,23,0,12,-87.88474893,40.17672061,177.1,1.86,ICG-Field-15
2020,14,0,12,-87.88510711,40.17716834,163.1,1.86,ICG-Field-15
2020,66,0,12,-87.88499552,40.17761966,317.8,1.8,ICG-Field-15
2020,8,0,12,-87.88663267,40.17706658,176.4,1.36,ICG-Field-15
2020,57,0,12,-87.8866444,40.17796742,159.1,2.58,ICG-Field-15
2020,25,0,12,-87.88546997,40.17797641,131.2,1.64,ICG-Field-15
2020,65,0,12,-87.88535956,40.17851781,223.5,1.22,ICG-Field-15
2020,21,0,12,-87.88641889,40.1786899,149,1.89,ICG-Field-15
2020,71,0,12,-87.88583402,40.17887456,159.3,1.57,ICG-Field-15
2020,67,0,12,-87.8865422,40.17913942,113.1,2.04,ICG-Field-15
2020,37,0,12,-87.88537127,40.17941866,156.2,1.69,ICG-Field-15
2020,20,0,12,-87.88596084,40.17959434,120.5,1.77,ICG-Field-15
2020,12,0,12,-87.88642944,40.17950066,164.7,1.89,ICG-Field-15
2020,19,0,12,-87.8874888,40.17967273,157.9,1.59,ICG-Field-15
2020,52,0,12,-87.88643413,40.17986099,189.6,1.55,ICG-Field-15
2020,11,0,12,-87.88643531,40.17995108,198.6,1.35,ICG-Field-15
2020,77,0,12,-87.88668075,40.18076004,166.7,1.31,ICG-Field-15
2020,62,0,12,-87.88668427,40.18103029,129.5,1.33,ICG-Field-15
2020,69,0,12,-87.88610055,40.18130504,140.8,1.56,ICG-Field-15
2020,47,0,12,-87.88658324,40.18229237,235.7,1.52,ICG-Field-15
2020,79,0,12,-87.88845892,40.18200771,153.9,1.94,ICG-Field-15
2020,54,0,12,-87.88727269,40.18111588,183.6,1.53,ICG-Field-15
2020,16,0,12,-87.88809247,40.1809294,202.6,1.42,ICG-Field-15
2020,81,0,12,-87.88901442,40.17957093,214.2,1.01,ICG-Field-15
2020,36,0,12,-87.88912481,40.17902952,145.5,1.25,ICG-Field-15
2020,32,0,12,-87.88911893,40.1785791,167.7,1.34,ICG-Field-15
2020,49,0,12,-87.88876189,40.17822146,206.5,1.4,ICG-Field-15
2020,64,0,12,-87.88829917,40.17876558,192.7,1.75,ICG-Field-15
2020,74,0,12,-87.88779341,40.17826864,174.5,1.71,ICG-Field-15
2020,22,0,12,-87.88751749,40.1778742,161.8,1.69,ICG-Field-15
2020,10,0,12,-87.88898973,40.17767916,150.3,1.31,ICG-Field-15
2020,5,0,12,-87.88874191,40.17669003,229.6,1.19,ICG-Field-15
2020,51,0,12,-87.88857852,40.17626257,181.2,1.64,ICG-Field-15
2020,40,0,12,-87.88827333,40.17678372,179.9,1.23,ICG-Field-15
2020,72,0,12,-87.88650703,40.17643688,193.2,1.17,ICG-Field-15
2020,53,0,12,-87.88626511,40.17589818,288.6,1.36,ICG-Field-15
2020,1,0,12,-87.88649765,40.17571621,161.9,1.28,ICG-Field-15
2020,15,0,12,-87.88731972,40.17570991,185.6,1.03,ICG-Field-15
2020,50,0,12,-87.88790809,40.17579549,203.5,1.25,ICG-Field-15
2020,63,0,12,-87.88801261,40.17480366,137.9,1.67,ICG-Field-15
2020,75,0,12,-87.88906249,40.17425505,171.2,1.53,ICG-Field-15
2020,34,0,12,-87.88882056,40.17371634,189.1,1.26,ICG-Field-15
2020,46,0,12,-87.88904368,40.17281369,170.9,1.26,ICG-Field-15
2020,80,0,12,-87.88763917,40.17318485,136.6,1.83,ICG-Field-15
2020,78,0,12,-87.88776012,40.1734542,133.2,1.5,ICG-Field-15
2020,45,0,12,-87.88776247,40.17363437,156.1,1.31,ICG-Field-15
2020,73,0,12,-87.8875323,40.17399651,162.5,1.81,ICG-Field-15
2020,28,0,12,-87.88647069,40.17364427,121.2,1.61,ICG-Field-15
2020,38,0,12,-87.88461629,40.17555041,196.4,1.76,ICG-Field-15
2020,58,0,12,-87.88378253,40.17465585,131.2,1.85,ICG-Field-15
2020,68,0,12,-87.88471734,40.17428833,200.8,1.89,ICG-Field-15
2020,44,0,12,-87.88541377,40.17365235,211.3,2.35,ICG-Field-15
2020,76,0,12,-87.88493935,40.17329561,135.9,2.59,ICG-Field-15
2020,30,0,12,-87.88645193,40.17220291,213.3,2.82,ICG-Field-15
2020,18,0,12,-87.88574968,40.17238848,111.7,2.67,ICG-Field-15
2020,29,0,12,-87.88539855,40.17248125,128.8,2.69,ICG-Field-15
2020,27,0,12,-87.88410561,40.17240104,175.2,1.08,ICG-Field-15
2020,2,0,12,-87.88399285,40.17276228,203.7,1.21,ICG-Field-15
2020,26,0,12,-87.883765,40.17330458,173.2,1.56,ICG-Field-15
